Caption,Image for iPad,Image credit,Corresponding Sound,Sound Credit,Notes
“High Mountains & Floating Streams”,96.70; PCD19981229_3706_IMG0010.tif,Minneapolis Institute of Arts,Cd: Song #1 “High Mountains & Floating Streams”,,Can you please do a thumbnail only focusing on the guy in white robe playing the zither
“Fisherman’s Song at Twilight”,2000.36.1; 100628_mia341_163704.jpg,Minneapolis Institute of Arts,Cd: Song #3 “Fisherman’s Song at Twilight”,,
Chinese Thrush ,http://orientalbirdimages.org/search.php?Bird_ID=2437&Bird_Image_ID=56955&p=10, © Philip He / AlpineBirding,http://www.xeno-canto.org/21532,"Mathias Ritschard, XC21532. Accessible at www.xeno-canto.org/21532",
Chinese Hwamei ,: http://commons.wikimedia.org/wiki/File:Garrulax_canorus_-_Watching_Back.jpg ,"By Charles Lam (originally posted to Flickr as Watching Back) [CC BY-SA 2.0 (http://creativecommons.org/licenses/by-sa/2.0)], via Wikimedia Commons",http://www.xeno-canto.org/80627 ,"George Wagner, XC80627",
Male Brambling,http://commons.wikimedia.org/wiki/File:Fringilla_montifringilla_-Poland_-male-8.jpg,"By mmlolek (Jer  Uploaded by Snowmanradio) [CC BY 2.0 (http://creativecommons.org/licenses/by/2.0)], via Wikimedia Commons",http://www.xeno-canto.org/195621,"Jens Kirkeby, XC195621. Accessible at www.xeno-canto.org/195621.",
Female Brambling,http://commons.wikimedia.org/wiki/File:Fringilla_montifringilla_no.JPG,"By Arnstein Rønning (Own work) [CC BY-SA 3.0 (http://creativecommons.org/licenses/by-sa/3.0)], via Wikimedia Commons",http://www.xeno-canto.org/214061,"Ilkka Heiskanen, XC214061. Accessible at www.xeno-canto.org/214061",
Common Redpoll , http://commons.wikimedia.org/wiki/File:Carduelis_flammea_CT6.jpg,"By Cephas (Own work) [GFDL (http://www.gnu.org/copyleft/fdl.html) or CC BY-SA 3.0 (http://creativecommons.org/licenses/by-sa/3.0)], via Wikimedia Commons",http://www.xeno-canto.org/216985,"Janne Bruun, XC216985. Accessible at www.xeno-canto.org/216985",
Big Yellow Bell,http://media.npr.org/programs/morning/features/2007/oct/crickets/yellowcricket540-0f85968738320abb79f1954388154c68aff19da8.jpg,Vivian He for NPR,,,
Little Yellow Bell,http://www.snipview.com/q/Anaxipha_pallidula,,,,
Chinese Ink Bell 1,http://www.playthemain.com/wp-content/uploads/2014/12/3cac00b4g909e0ebf7906690.jpg ,,http://www.56.com/u78/v_MzgxNjgxMzE.html ,,
Chinese Ink Bell 2,http://uns.music.coocan.jp/korogiSWF/futairoHibari-Korogi.html,UEDA NATURE SOUND,http://uns.music.coocan.jp/korogiSWF/futairoHibari-Korogi.html,UEDA NATURE SOUND,
Longevity Bell,,,https://www.youtube.com/watch?v=G7JuoSiN5Kc,,
Hearthhorse Cricket,http://upload.wikimedia.org/wikipedia/commons/9/96/Ceuthophiluscricket.jpg,,https://www.youtube.com/watch?v=Ovw5h8LtDak,,
Stove Cricket,http://uns.music.coocan.jp/korogiSWF/kamado-Korogi.html,,http://uns.music.coocan.jp/korogiSWF/kamado-Korogi.html,,
“Jin Ling Zi” golden bell,http://uns.music.coocan.jp/korogiSWF/kusaHibari-Korogi.html,,http://uns.music.coocan.jp/korogiSWF/kusaHibari-Korogi.html,,
Chinese Bush Cricket/Guoguo'er Katydid,https://www.flickr.com/photos/itchydogimages/6197332019/,itchydogimages on Flickr,https://www.youtube.com/watch?v=qjUjo1sQRW8,yangyanghereiam on Youtube,
